id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
1983,6074941,1,3,8,0,,2008-06-07 08:15:00,-73.773151972,40.7612122082,2008-06-07 08:45:00,-73.8794857189,40.7452149291
1984,6074941,1,4,8,0,,2008-06-07 09:00:00,-73.8794857189,40.7452149291,2008-06-07 09:15:00,-73.8919015862,40.7512769857
1985,6074941,1,5,8,0,,2008-06-07 09:30:00,-73.8919015862,40.7512769857,2008-06-07 10:00:00,-73.8000215553,40.7903024028
1986,6074941,1,6,8,0,,2008-06-07 14:00:00,-73.8000215553,40.7903024028,2008-06-07 14:20:00,-73.8961888258,40.7580338197
1987,6074941,1,7,8,0,,2008-06-07 14:25:00,-73.8961888258,40.7580338197,2008-06-07 14:35:00,-73.8919015862,40.7512769857
1988,6074941,1,8,8,0,,2008-06-07 15:30:00,-73.8919015862,40.7512769857,2008-06-07 15:45:00,-73.8794857189,40.7452149291
1989,6074941,1,9,8,0,,2008-06-07 16:30:00,-73.8794857189,40.7452149291,2008-06-07 16:55:00,-73.8000215553,40.7903024028
1990,6075016,1,1,7,0,,2008-06-07 16:00:00,-73.787364468,40.7594975182,2008-06-07 16:05:00,-73.7830753267,40.7641470447
1991,6075016,1,2,7,0,,2008-06-07 16:25:00,-73.7830753267,40.7641470447,2008-06-07 16:30:00,-73.787364468,40.7594975182
1992,6075172,1,1,1,2,1167.0,2008-06-14 14:15:00,,,2008-06-14 15:15:00,-73.9704938412,40.7648407459
1993,6075172,1,2,4,0,,2008-06-14 16:15:00,-73.9704938412,40.7648407459,2008-06-14 17:45:00,,
1994,6075172,2,1,7,0,,2008-06-14 08:30:00,,,2008-06-14 08:45:00,-73.7712450308,40.7662917961
1995,6075172,2,2,8,0,,2008-06-14 13:00:00,-73.7712450308,40.7662917961,2008-06-14 13:05:00,-73.7712450308,40.7662917961
1996,6075172,2,3,8,0,,2008-06-14 14:00:00,-73.7712450308,40.7662917961,2008-06-14 14:05:00,-73.7712450308,40.7662917961
1997,6075172,2,4,9,0,,2008-06-14 16:45:00,-73.7712450308,40.7662917961,2008-06-14 17:00:00,-73.7712450308,40.7662917961
1998,6075172,2,5,7,0,,2008-06-14 17:45:00,-73.7712450308,40.7662917961,2008-06-14 18:00:00,,
1999,6075256,1,1,8,0,,2008-06-14 08:30:00,,,2008-06-14 08:50:00,-73.7821479886,40.7448848723
