transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032847_2_2,3:119,6007906_3_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_2_2,3:118,6007906_1_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_2_2,3:118,6007906_1_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_2_2,3:118,6007906_1_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_2_2,3:118,6054183_2_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_2_2,3:118,6054183_2_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_2_2,3:118,6054183_2_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_2_2,3:118,6007906_3_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_2_2,3:118,6007906_3_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_2_2,3:118,6007906_3_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_2_2,3:117,6007906_1_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_2_2,3:117,6007906_1_3,4,35.0752378174,29.4150406504,8.16865334735
6032847_2_2,3:117,6007906_1_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_2_2,3:117,6054183_2_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_2_2,3:117,6054183_2_3,4,35.0752378174,29.4150406504,8.16865334735
6032847_2_2,3:117,6054183_2_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_2_2,3:117,6007906_3_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_2_2,3:117,6007906_3_3,4,35.0752378174,29.4150406504,8.16865334735
6032847_2_2,3:117,6007906_3_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_2_2,3:116,6007906_1_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_2_2,3:116,6007906_1_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_2_2,3:116,6007906_1_3,7,35.0752378174,32.239609107,9.43793019088
6032847_2_2,3:116,6054183_2_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_2_2,3:116,6054183_2_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_2_2,3:116,6054183_2_3,7,35.0752378174,32.239609107,9.43793019088
6032847_2_2,3:116,6007906_3_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_2_2,3:116,6007906_3_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_2_2,3:116,6007906_3_3,7,35.0752378174,32.239609107,9.43793019088
6032847_2_2,3:115,6007906_1_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_2_2,3:115,6007906_1_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_2_2,3:115,6054183_2_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_2_2,3:115,6054183_2_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_2_2,3:115,6007906_3_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_2_2,3:115,6007906_3_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_2_2,3:114,6007906_1_3,7,35.0752378174,31.8335208803,9.03184196419
6032847_2_2,3:114,6054183_2_3,7,35.0752378174,31.8335208803,9.03184196419
6032847_2_2,3:114,6007906_3_3,7,35.0752378174,31.8335208803,9.03184196419
6033182_1_2,10:122,6103404_2_5,1,10.4933611254,3.79890462111,20.0599991387
6033182_1_2,10:122,6103404_2_5,5,10.4933611254,4.53366806147,19.3252356983
6033182_1_2,10:122,6103404_2_5,6,10.4933611254,4.95039984319,18.9085039166
6033182_1_2,10:122,6030341_1_5,1,10.4933611254,3.79890462111,20.0599991387
6033182_1_2,10:122,6030341_1_5,5,10.4933611254,4.53366806147,19.3252356983
6033182_1_2,10:122,6030341_1_5,6,10.4933611254,4.95039984319,18.9085039166
6033182_1_2,10:121,6103404_2_5,1,10.4933611254,3.37645467277,19.6375491903
6033182_1_2,10:121,6103404_2_5,5,10.4933611254,4.11121811313,18.90278575
6033182_1_2,10:121,6103404_2_5,6,10.4933611254,4.52794989484,18.4860539683
6033182_1_2,10:121,6103404_2_5,9,10.4933611254,5.53504471023,17.4806213203
6033182_1_2,10:121,6030341_1_5,1,10.4933611254,3.37645467277,19.6375491903
6033182_1_2,10:121,6030341_1_5,5,10.4933611254,4.11121811313,18.90278575
6033182_1_2,10:121,6030341_1_5,6,10.4933611254,4.52794989484,18.4860539683
6033182_1_2,10:121,6030341_1_5,9,10.4933611254,5.53504471023,17.4806213203
6033182_1_2,10:120,6103404_2_5,1,10.4933611254,3.83693640988,20.0980309275
6033182_1_2,10:120,6030341_1_5,1,10.4933611254,3.83693640988,20.0980309275
6033327_1_2,10:127,6066590_1_2,1,10.2288341701,3.85709057826,26.4997848798
6033327_1_2,10:127,6066590_1_2,6,10.2288341701,5.73332419633,24.6235512617
6033327_1_2,10:126,6066590_1_2,1,10.2288341701,3.69662956015,26.3393238616
6033327_1_2,10:126,6066590_1_2,4,10.2288341701,4.68762251322,25.8749975819
6033327_1_2,10:126,6066590_1_2,6,10.2288341701,5.89964581256,24.7898728779
6033645_1_1,3:213,6084792_1_1,1,9.49438017384,2.67197064123,32.0038452371
6033645_1_1,3:213,6084792_1_1,4,9.49438017384,3.85995975885,32.0980303231
6033645_1_1,3:213,6084792_1_1,7,9.49438017384,5.11875099507,30.8392390869
6033645_1_1,3:213,6084792_2_1,1,9.49438017384,2.67197064123,32.0038452371
6033645_1_1,3:213,6084792_2_1,4,9.49438017384,3.85995975885,32.0980303231
6033645_1_1,3:213,6084792_2_1,7,9.49438017384,5.11875099507,30.8392390869
